"id","標題","說明","例題","問法"
"M80001","二次方根的概念與運算","理解二次方根的意義，能進行根式的化簡與四則運算","化簡 √50 + √18","什麼是二次方根？｜怎麼化簡根號？｜可以直接加減根號嗎？"
"M80002","二次方根的近似值","能使用十分類近似法、計算機、平方根鍵求出根號近似值","√5 約等於多少？","根號可以算近似值嗎？｜怎麼按計算機求根號？｜為什麼根號不能完全算出來？"
"M80003","認識數列","能辨認生活中常見數列規律，並找出下一項或圖形的規律","下列數列 2, 4, 6, 8, __，填空","什麼是數列？｜數列要怎麼找規律？｜這是等差數列嗎？"
"M80004","等差數列的通項","理解等差數列的通項公式並能列式解題","已知首項為 3，公差為 5，求第 10 項","什麼是等差？｜第 n 項怎麼表示？｜等差公式怎麼代？"
"M80005","等差級數與應用","能使用等差級數公式求總和並應用在實務情境","1+3+5+...+99 的總和是多少？","什麼是級數？｜怎麼求加總？｜跟通項有什麼不同？"
"M80006","等比數列的通項","理解等比數列的定義與公式，能列出一般項","首項 2，公比 3，求第 5 項","什麼是等比？｜公比代表什麼？｜怎麼寫第 n 項？"
"M80007","角與角的關係","了解各種角的定義與關係（如對頂角、同位角、內錯角等）","補角的定義是什麼？","什麼是同位角？｜互補角怎麼判斷？｜內錯角在哪裡？"
"M80008","凸多邊形的內角和","了解凸多邊形內角和的公式並能應用計算","五邊形的內角和是多少度？","為什麼多邊形可以算角度？｜公式怎麼來的？｜每個內角都一樣嗎？"
"M80009","平行與距離","理解平行線的性質與符號，並知道兩平行線間距離相等","畫出兩條平行線並標出距離","什麼是平行線？｜怎麼表示平行？｜兩線的距離怎麼算？"
"M80010","全等圖形與對應邊角","認識全等圖形的判定與對應邊角相等性質","兩個三角形若全等，是否對邊對角都相等？","什麼是全等？｜哪幾種方法能判斷全等？｜要對應哪些邊角？"
"M80011","三角形的全等性質","掌握 SAS、SSS、ASA、AAS、RHS 等全等判定方式","判斷兩個三角形是否全等並說明理由","什麼是 SAS？｜全等與相似有何不同？｜為什麼要有多種全等法則？"
"M80012","畢氏定理與應用","理解畢氏定理的公式與生活應用條件","一個三角形三邊為 3,4,5，是否為直角三角形？","什麼是畢氏定理？｜哪時候能用？｜反過來也能判斷嗎？"
"M80013","平面圖形的面積","計算正三角形、高與底已知的面積與複合圖形面積","正三角形邊長 6，求其面積","怎麼算圖形面積？｜正三角形和矩形有什麼差？｜什麼是高？"
"M80014","三角形的基本性質","了解等腰與不等邊三角形的性質與對應角邊關係","等腰三角形的底角會相等嗎？","等腰三角形的特性是什麼？｜什麼是對應角？｜角與邊有關係嗎？"
"M80015","平行四邊形的性質","了解平行四邊形的內角、對角線與邊的特性","畫出平行四邊形並標出對邊與對角","什麼是對角線？｜怎麼判斷是不是平行四邊形？"
"M80016","正方形、長方形、菱形的性質","比較三種圖形的對角線性質與對邊角特性","哪個圖形的對角線會互相垂直？","這些圖形有什麼相同與不同？｜怎麼快速辨認？"
"M80017","梯形的基本性質","理解等腰梯形、高、腰與中位線關係","畫出梯形並標出中位線","什麼是中位線？｜等腰梯形有什麼特性？｜中位線怎麼算？"
"M80018","尺規作圖與推理","能用尺規畫出角平分線、中垂線、平行線與垂線，並推理作圖正確性","使用尺規畫出已知角的角平分線","什麼是角平分線？｜尺規能畫哪些幾何構造？"
"M80019","直角坐標系的距離公式","理解兩點 A(x₁,y₁)、B(x₂,y₂) 之間距離計算方式","計算點 A(1,2) 與 B(4,6) 的距離","距離公式怎麼來的？｜是不是畢氏定理變形？"
"M80020","乘法公式","熟悉 (a+b)², (a-b)², (a+b)(a-b) 等恆等式","展開：(x+2)²","平方差是什麼？｜可以快速展開嗎？｜有沒有背法？"
"M80021","多項式的結構與名稱","認識多項式中的項、次數、係數、常數項等名詞與分類","哪一項是多項式的最高次項？","什麼是一元？｜多項式有幾類？｜次數怎麼看？"
"M80022","多項式的四則運算","能正確進行多項式加減乘除，並整理與化簡","計算：(2x + 3)(x - 1)","怎麼配項？｜能不能用分配律？｜次數會變嗎？"
"M80023","因式分解的基本方法","理解提公因式、公式法、十字交乘法的適用情境與操作","因式分解：x² + 5x + 6","什麼是因式分解？｜怎麼判斷用哪一種方法？"
"M80024","一元二次方程式的意義","了解一元二次方程式的形式與應用情境","列出：一個數平方後減 3 等於 0 的方程式","什麼是一元二次？｜跟一次式有什麼差？"
"M80025","一元二次方程式的解法","能用配方法、公公式法解一元二次方程式","解：x² - 5x + 6 = 0","配方法怎麼做？｜什麼時候用公式法？｜能驗算嗎？"
"M80026","統計資料處理","能整理與繪製累積次數與相對次數折線圖","畫出這組資料的累積次數圖","累積次數是什麼？｜相對次數怎麼算？｜這些圖表有何用途？"
